networkname,networkinstance,refinementFactor,coverageFactor,storminstantiation,stormECDistance,stormiteration,stormLastPLAtime,stormtotaltuningime,p1bayesserverinstantiation,p1bayesserverECDistance,p1bayesservertuningtime,stormbayesserverdistancediff,stormbayesservertimediff,samiamEC,stormsamiamdiff
alarm,p1,0.10,0.900000,0.3675,0.347500,3,0.018000,0.039000,0.36201213450885433,0.342012,0.033287763595581055,0.005488,0.005712,0.342012,0.005488

alarm,p1,0.01,0.990000,0.36421875,0.344219,3,0.027000,0.049000,0.36201213450885433,0.342012,0.033287763595581055,0.002207,0.015712,0.342012,0.002207

alarm,p1,0.001,0.999000,0.362578125,0.342578,3,0.037000,0.058000,0.36201213450885433,0.342012,0.033287763595581055,0.000566,0.024712,0.342012,0.000566

alarm,p1,0.0001,0.999900,0.3620141602,0.342014,3,0.044000,0.065000,0.36201213450885433,0.342012,0.033287763595581055,0.000002,0.031712,0.342012,0.000002

alarm,p1,0.00001,0.999990,0.3620141602,0.342014,3,0.051000,0.072000,0.36201213450885433,0.342012,0.033287763595581055,0.000002,0.038712,0.342012,0.000002

alarm,p1,0.000001,0.999999,0.362012558,0.342013,3,0.061000,0.082000,0.36201213450885433,0.342012,0.033287763595581055,0.000000,0.048712,0.342012,0.000001

