thresshold,networkname,networkinstance,refinementFactor,coverageFactor,storminstantiation,stormECDistance,stormiteration,stormLastPLAtime,stormtotaltuningime,p1bayesserverinstantiation,p1bayesserverECDistance,p1bayesservertuningtime,stormbayesserverdistancediff,stormbayesservertimediff,samiamEC,stormsamiamdiff,regionExpansionFac,maxIter,epsilon
0.3,alarm,p1,0.0000001,1.000000,0.02,0.000000,1,0.011000,0.011000,0.36201213450885433,0.342012,0.033287763595581055,0.342012,-0.022288,0.342012,0.342012,1.250000,2,0.800000
0.3,alarm,p1,0.0000001,1.000000,0.02,0.000000,1,0.012000,0.012000,0.36201213450885433,0.342012,0.033287763595581055,0.342012,-0.021288,0.342012,0.342012,1.250000,4,0.512000
0.3,alarm,p1,0.0000001,1.000000,0.02,0.000000,1,0.012000,0.012000,0.36201213450885433,0.342012,0.033287763595581055,0.342012,-0.021288,0.342012,0.342012,1.250000,6,0.327680
0.3,alarm,p1,0.0000001,1.000000,0.02,0.000000,1,0.011000,0.011000,0.36201213450885433,0.342012,0.033287763595581055,0.342012,-0.022288,0.342012,0.342012,1.250000,8,0.209715
0.3,alarm,p1,0.0000001,1.000000,0.02,0.000000,1,0.012000,0.012000,0.36201213450885433,0.342012,0.033287763595581055,0.342012,-0.021288,0.342012,0.342012,2.000000,2,0.500000
0.3,alarm,p1,0.0000001,1.000000,0.02,0.000000,1,0.012000,0.012000,0.36201213450885433,0.342012,0.033287763595581055,0.342012,-0.021288,0.342012,0.342012,2.000000,4,0.125000
0.3,alarm,p1,0.0000001,1.000000,0.02,0.000000,1,0.012000,0.012000,0.36201213450885433,0.342012,0.033287763595581055,0.342012,-0.021288,0.342012,0.342012,2.000000,6,0.031250
0.3,alarm,p1,0.0000001,1.000000,0.02,0.000000,1,0.011000,0.011000,0.36201213450885433,0.342012,0.033287763595581055,0.342012,-0.022288,0.342012,0.342012,2.000000,8,0.007812
0.3,alarm,p1,0.0000001,1.000000,0.02,0.000000,1,0.012000,0.012000,0.36201213450885433,0.342012,0.033287763595581055,0.342012,-0.021288,0.342012,0.342012,2.500000,2,0.400000
0.3,alarm,p1,0.0000001,1.000000,0.02,0.000000,1,0.012000,0.012000,0.36201213450885433,0.342012,0.033287763595581055,0.342012,-0.021288,0.342012,0.342012,2.500000,4,0.064000
0.3,alarm,p1,0.0000001,1.000000,0.02,0.000000,1,0.012000,0.012000,0.36201213450885433,0.342012,0.033287763595581055,0.342012,-0.021288,0.342012,0.342012,2.500000,6,0.010240
0.3,alarm,p1,0.0000001,1.000000,0.02,0.000000,1,0.011000,0.011000,0.36201213450885433,0.342012,0.033287763595581055,0.342012,-0.022288,0.342012,0.342012,2.500000,8,0.001638
0.3,alarm,p1,0.0000001,1.000000,0.02,0.000000,1,0.012000,0.012000,0.36201213450885433,0.342012,0.033287763595581055,0.342012,-0.021288,0.342012,0.342012,5.000000,2,0.200000
0.3,alarm,p1,0.0000001,1.000000,0.02,0.000000,1,0.011000,0.011000,0.36201213450885433,0.342012,0.033287763595581055,0.342012,-0.022288,0.342012,0.342012,5.000000,4,0.008000
0.3,alarm,p1,0.0000001,1.000000,0.02,0.000000,1,0.012000,0.012000,0.36201213450885433,0.342012,0.033287763595581055,0.342012,-0.021288,0.342012,0.342012,5.000000,6,0.000320
0.3,alarm,p1,0.0000001,1.000000,0.02,0.000000,1,0.011000,0.011000,0.36201213450885433,0.342012,0.033287763595581055,0.342012,-0.022288,0.342012,0.342012,5.000000,8,0.000013
