thresshold,networkname,networkinstance,refinementFactor,coverageFactor,storminstantiation,stormECDistance,stormiteration,stormLastPLAtime,stormtotaltuningime,p1bayesserverinstantiation,p1bayesserverECDistance,p1bayesservertuningtime,stormbayesserverdistancediff,stormbayesservertimediff,samiamEC,stormsamiamdiff,regionExpansionFac,maxIter,epsilon
0.6,alarm,p1,0.0000001,1.000000,0.68200308084487915,0.662003,1,0.076000,0.076000,0.36201213450885433,0.342012,0.033287763595581055,0.319991,0.042712,0.342012,0.319991,1.250000,2,0.800000
0.6,alarm,p1,0.0000001,1.000000,0.68200308084487915,0.662003,1,0.077000,0.077000,0.36201213450885433,0.342012,0.033287763595581055,0.319991,0.043712,0.342012,0.319991,1.250000,4,0.512000
0.6,alarm,p1,0.0000001,1.000000,0.68200308084487915,0.662003,1,0.118000,0.118000,0.36201213450885433,0.342012,0.033287763595581055,0.319991,0.084712,0.342012,0.319991,1.250000,6,0.327680
0.6,alarm,p1,0.0000001,1.000000,0.68200308084487915,0.662003,1,0.160000,0.160000,0.36201213450885433,0.342012,0.033287763595581055,0.319991,0.126712,0.342012,0.319991,1.250000,8,0.209715
0.6,alarm,p1,0.0000001,1.000000,0.68200308084487915,0.662003,2,0.114000,0.131000,0.36201213450885433,0.342012,0.033287763595581055,0.319991,0.097712,0.342012,0.319991,2.000000,2,0.500000
0.6,alarm,p1,0.0000001,1.000000,0.68200308084487915,0.662003,4,0.075000,0.108000,0.36201213450885433,0.342012,0.033287763595581055,0.319991,0.074712,0.342012,0.319991,2.000000,4,0.125000
0.6,alarm,p1,0.0000001,1.000000,0.68200308084487915,0.662003,6,0.074000,0.128000,0.36201213450885433,0.342012,0.033287763595581055,0.319991,0.094712,0.342012,0.319991,2.000000,6,0.031250
0.6,alarm,p1,0.0000001,1.000000,0.68200308084487915,0.662003,8,0.077000,0.153000,0.36201213450885433,0.342012,0.033287763595581055,0.319991,0.119712,0.342012,0.319991,2.000000,8,0.007812
0.6,alarm,p1,0.0000001,1.000000,0.68200308084487915,0.662003,2,0.078000,0.089000,0.36201213450885433,0.342012,0.033287763595581055,0.319991,0.055712,0.342012,0.319991,2.500000,2,0.400000
0.6,alarm,p1,0.0000001,1.000000,0.68200308084487915,0.662003,4,0.094000,0.129000,0.36201213450885433,0.342012,0.033287763595581055,0.319991,0.095712,0.342012,0.319991,2.500000,4,0.064000
0.6,alarm,p1,0.0000001,1.000000,0.68200308084487915,0.662003,6,0.091000,0.160000,0.36201213450885433,0.342012,0.033287763595581055,0.319991,0.126712,0.342012,0.319991,2.500000,6,0.010240
0.6,alarm,p1,0.0000001,1.000000,0.68200308084487915,0.662003,8,0.071000,0.142000,0.36201213450885433,0.342012,0.033287763595581055,0.319991,0.108712,0.342012,0.319991,2.500000,8,0.001638
0.6,alarm,p1,0.0000001,1.000000,0.68200308084487915,0.662003,2,0.087000,0.099000,0.36201213450885433,0.342012,0.033287763595581055,0.319991,0.065712,0.342012,0.319991,5.000000,2,0.200000
0.6,alarm,p1,0.0000001,1.000000,0.68200308084487915,0.662003,4,0.085000,0.120000,0.36201213450885433,0.342012,0.033287763595581055,0.319991,0.086712,0.342012,0.319991,5.000000,4,0.008000
0.6,alarm,p1,0.0000001,1.000000,0.68200308084487915,0.662003,6,0.077000,0.140000,0.36201213450885433,0.342012,0.033287763595581055,0.319991,0.106712,0.342012,0.319991,5.000000,6,0.000320
0.6,alarm,p1,0.0000001,1.000000,0.68200308084487915,0.662003,8,0.072000,0.143000,0.36201213450885433,0.342012,0.033287763595581055,0.319991,0.109712,0.342012,0.319991,5.000000,8,0.000013
