thresshold,networkname,networkinstance,refinementFactor,coverageFactor,storminstantiation,stormECDistance,stormiteration,stormLastPLAtime,stormtotaltuningime,p1bayesserverinstantiation,p1bayesserverECDistance,p1bayesservertuningtime,stormbayesserverdistancediff,stormbayesservertimediff
0.3,alarm,p1,0.0000001,1.000000,0.02,0.001,0,10000.000000,0.000000,10000,9999.980000,10000,-9999.980000,-10000.000000
0.35,alarm,p1,0.0000001,1.000000,0.02,0.001,0,10000.000000,0.000000,10000,9999.980000,10000,-9999.980000,-10000.000000
0.4,alarm,p1,0.0000001,1.000000,0.04202123546600342,0.022021,0,10000.000000,0.000000,10000,9999.980000,10000,-9999.957979,-10000.000000
0.45,alarm,p1,0.0000001,1.000000,0.2020169448852539,0.182017,2,0.069000,0.080000,10000,9999.980000,10000,-9999.797983,-9999.920000
0.5,alarm,p1,0.0000001,1.000000,0.36201216697692873,0.342012,3,0.074000,0.096000,10000,9999.980000,10000,-9999.637988,-9999.904000
0.55,alarm,p1,0.0000001,1.000000,0.52200794219970703,0.502008,4,0.073000,0.104000,10000,9999.980000,10000,-9999.477992,-9999.896000
0.6,alarm,p1,0.0000001,1.000000,0.68200308084487915,0.662003,4,0.080000,0.115000,10000,9999.980000,10000,-9999.317997,-9999.885000
0.65,alarm,p1,0.0000001,1.000000,0.84199857711791992,0.821999,4,0.071000,0.102000,10000,9999.980000,10000,-9999.158001,-9999.898000
0.7,alarm,p1,0.0000001,1.000000,10000,10,6,0.012000,0.072000,10000,9999.980000,10000,0.0000001,-9999.928000
0.75,alarm,p1,0.0000001,1.000000,10000,10,6,0.010000,0.061000,10000,9999.980000,10000,0.0000001,-9999.939000
0.8,alarm,p1,0.0000001,1.000000,10000,10,6,0.011000,0.068000,10000,9999.980000,10000,0.0000001,-9999.932000
0.85,alarm,p1,0.0000001,1.000000,10000,10,6,0.010000,0.061000,10000,9999.980000,10000,0.0000001,-9999.939000
0.9,alarm,p1,0.0000001,1.000000,10000,10,6,0.013000,0.074000,10000,9999.980000,10000,0.0000001,-9999.926000
0.95,alarm,p1,0.0000001,1.000000,10000,10,6,0.010000,0.066000,10000,9999.980000,10000,0.0000001,-9999.934000
