thresshold,networkname,networkinstance,refinementFactor,coverageFactor,storminstantiation,stormECDistance,stormiteration,stormLastPLAtime,stormtotaltuningime,p1bayesserverinstantiation,p1bayesserverECDistance,p1bayesservertuningtime,stormbayesserverdistancediff,stormbayesservertimediff
0.3,alarm,p1,0.01,0.990000,0.02,0.001,0,10000.000000,0.000000,10000,9999.980000,10000,-9999.980000,-10000.000000
0.35,alarm,p1,0.01,0.990000,0.02,0.001,0,10000.000000,0.000000,10000,9999.980000,10000,-9999.980000,-10000.000000
0.4,alarm,p1,0.01,0.990000,0.0421484375,0.022148,0,10000.000000,0.000000,10000,9999.980000,10000,-9999.957852,-10000.000000
0.45,alarm,p1,0.01,0.990000,0.2025,0.182500,2,0.028000,0.040000,10000,9999.980000,10000,-9999.797500,-9999.960000
0.5,alarm,p1,0.01,0.990000,0.365625,0.345625,3,0.031000,0.060000,10000,9999.980000,10000,-9999.634375,-9999.940000
0.55,alarm,p1,0.01,0.990000,0.5234375,0.503437,4,0.028000,0.061000,10000,9999.980000,10000,-9999.476563,-9999.939000
0.6,alarm,p1,0.01,0.990000,0.6875,0.667500,4,0.028000,0.059000,10000,9999.980000,10000,-9999.312500,-9999.941000
0.65,alarm,p1,0.01,0.990000,0.84375,0.823750,4,0.027000,0.060000,10000,9999.980000,10000,-9999.156250,-9999.940000
0.7,alarm,p1,0.01,0.990000,10000,10,6,0.010000,0.074000,10000,9999.980000,10000,0.0000001,-9999.926000
0.75,alarm,p1,0.01,0.990000,10000,10,6,0.016000,0.080000,10000,9999.980000,10000,0.0000001,-9999.920000
0.8,alarm,p1,0.01,0.990000,10000,10,6,0.016000,0.077000,10000,9999.980000,10000,0.0000001,-9999.923000
0.85,alarm,p1,0.01,0.990000,10000,10,6,0.011000,0.071000,10000,9999.980000,10000,0.0000001,-9999.929000
0.9,alarm,p1,0.01,0.990000,10000,10,6,0.011000,0.063000,10000,9999.980000,10000,0.0000001,-9999.937000
0.95,alarm,p1,0.01,0.990000,10000,10,6,0.016000,0.078000,10000,9999.980000,10000,0.0000001,-9999.922000
