networkname,networkinstance,refinementFactor,coverageFactor,storminstantiation,stormECDistance,stormiteration,stormLastPLAtime,stormtotaltuningime,p1bayesserverinstantiation,p1bayesserverECDistance,p1bayesservertuningtime,stormbayesserverdistancediff,stormbayesservertimediff
alarm,p1,0.5,0.500000,0.41,0.390000,4,0.012000,0.045000,0.36201213450885433,0.342012,0.033287763595581055,0.047988,0.011712

alarm,p1,0.45,0.550000,0.41,0.390000,4,0.014000,0.055000,0.36201213450885433,0.342012,0.033287763595581055,0.047988,0.021712

alarm,p1,0.4,0.600000,0.41,0.390000,4,0.014000,0.052000,0.36201213450885433,0.342012,0.033287763595581055,0.047988,0.018712

alarm,p1,0.35,0.650000,0.41,0.390000,4,0.015000,0.053000,0.36201213450885433,0.342012,0.033287763595581055,0.047988,0.019712

alarm,p1,0.3,0.700000,0.41,0.390000,4,0.014000,0.050000,0.36201213450885433,0.342012,0.033287763595581055,0.047988,0.016712

alarm,p1,0.25,0.750000,0.41,0.390000,4,0.017000,0.051000,0.36201213450885433,0.342012,0.033287763595581055,0.047988,0.017712

alarm,p1,0.20,0.800000,0.3675,0.347500,3,0.017000,0.038000,0.36201213450885433,0.342012,0.033287763595581055,0.005488,0.004712

alarm,p1,0.15,0.850000,0.3675,0.347500,3,0.017000,0.038000,0.36201213450885433,0.342012,0.033287763595581055,0.005488,0.004712

alarm,p1,0.10,0.900000,0.3675,0.347500,3,0.018000,0.039000,0.36201213450885433,0.342012,0.033287763595581055,0.005488,0.005712

alarm,p1,0.05,0.950000,0.3675,0.347500,3,0.021000,0.043000,0.36201213450885433,0.342012,0.033287763595581055,0.005488,0.009712

alarm,p1,0.04,0.960000,0.3675,0.347500,3,0.021000,0.042000,0.36201213450885433,0.342012,0.033287763595581055,0.005488,0.008712

alarm,p1,0.03,0.970000,0.3675,0.347500,3,0.024000,0.045000,0.36201213450885433,0.342012,0.033287763595581055,0.005488,0.011712

alarm,p1,0.02,0.980000,0.3675,0.347500,3,0.024000,0.045000,0.36201213450885433,0.342012,0.033287763595581055,0.005488,0.011712

alarm,p1,0.01,0.990000,0.36421875,0.344219,3,0.027000,0.049000,0.36201213450885433,0.342012,0.033287763595581055,0.002207,0.015712

alarm,p1,0.001,0.999000,0.362578125,0.342578,3,0.037000,0.058000,0.36201213450885433,0.342012,0.033287763595581055,0.000566,0.024712

alarm,p1,0.0001,0.999900,0.3620141602,0.342014,3,0.044000,0.065000,0.36201213450885433,0.342012,0.033287763595581055,0.000002,0.031712

alarm,p1,0.00001,0.999990,0.3620141602,0.342014,3,0.051000,0.072000,0.36201213450885433,0.342012,0.033287763595581055,0.000002,0.038712

alarm,p1,0.000001,0.999999,0.362012558,0.342013,3,0.061000,0.082000,0.36201213450885433,0.342012,0.033287763595581055,0.000001,0.048712

alarm,p1,0.0000001,1.000000,0.362012558,0.342013,3,0.070000,0.091000,0.36201213450885433,0.342012,0.033287763595581055,0.000001,0.057712

alarm,p1,0.00000001,1.000000,0.3620121355,0.342012,3,0.078000,0.099000,0.36201213450885433,0.342012,0.033287763595581055,0.0000001,0.065712

alarm,p1,0.000000001,1.000000,0.3620121348,0.342012,3,0.085000,0.109000,0.36201213450885433,0.342012,0.033287763595581055,0.0000001,0.075712

alarm,p1,0.0000000001,1.000000,0.3620121387,0.342012,3,0.103000,0.126000,0.36201213450885433,0.342012,0.033287763595581055,0.0000001,0.092712

alarm,p1,0.00000000001,1.000000,0.3620121345,0.342012,3,0.108000,0.129000,0.36201213450885433,0.342012,0.033287763595581055,0.0000001,0.095712

