networkname,networkinstance,refinementFactor,coverageFactor,storminstantiation,stormECDistance,stormiteration,stormLastPLAtime,stormtotaltuningime,p1bayesserverinstantiation,p1bayesserverECDistance,p1bayesservertuningtime,stormbayesserverdistancediff,stormbayesservertimediff
andes,p1,0.5,0.500000,10000,9999.200000,10000,10000.000000,0.000000,0.7999999999660568,0.000000,0.05327892303466797,9999.200000,-0.053279

andes,p1,0.45,0.550000,10000,9999.200000,10000,10000.000000,0.000000,0.7999999999660568,0.000000,0.05327892303466797,9999.200000,-0.053279

andes,p1,0.4,0.600000,10000,9999.200000,10000,10000.000000,0.000000,0.7999999999660568,0.000000,0.05327892303466797,9999.200000,-0.053279

andes,p1,0.35,0.650000,10000,9999.200000,10000,10000.000000,0.000000,0.7999999999660568,0.000000,0.05327892303466797,9999.200000,-0.053279

andes,p1,0.3,0.700000,10000,9999.200000,10000,10000.000000,0.000000,0.7999999999660568,0.000000,0.05327892303466797,9999.200000,-0.053279

andes,p1,0.25,0.750000,10000,9999.200000,10000,10000.000000,0.000000,0.7999999999660568,0.000000,0.05327892303466797,9999.200000,-0.053279

andes,p1,0.20,0.800000,10000,9999.200000,10000,10000.000000,0.000000,0.7999999999660568,0.000000,0.05327892303466797,9999.200000,-0.053279

andes,p1,0.15,0.850000,10000,9999.200000,10000,10000.000000,0.000000,0.7999999999660568,0.000000,0.05327892303466797,9999.200000,-0.053279

andes,p1,0.10,0.900000,10000,9999.200000,10000,10000.000000,0.000000,0.7999999999660568,0.000000,0.05327892303466797,9999.200000,-0.053279

andes,p1,0.05,0.950000,10000,9999.200000,10000,10000.000000,0.000000,0.7999999999660568,0.000000,0.05327892303466797,9999.200000,-0.053279

andes,p1,0.04,0.960000,10000,9999.200000,10000,10000.000000,0.000000,0.7999999999660568,0.000000,0.05327892303466797,9999.200000,-0.053279

andes,p1,0.03,0.970000,10000,9999.200000,10000,10000.000000,0.000000,0.7999999999660568,0.000000,0.05327892303466797,9999.200000,-0.053279

andes,p1,0.02,0.980000,10000,9999.200000,10000,10000.000000,0.000000,0.7999999999660568,0.000000,0.05327892303466797,9999.200000,-0.053279

andes,p1,0.01,0.990000,10000,9999.200000,10000,10000.000000,0.000000,0.7999999999660568,0.000000,0.05327892303466797,9999.200000,-0.053279

andes,p1,0.001,0.999000,10000,9999.200000,10000,10000.000000,0.000000,0.7999999999660568,0.000000,0.05327892303466797,9999.200000,-0.053279

andes,p1,0.0001,0.999900,10000,9999.200000,10000,10000.000000,0.000000,0.7999999999660568,0.000000,0.05327892303466797,9999.200000,-0.053279

andes,p1,0.00001,0.999990,10000,9999.200000,10000,10000.000000,0.000000,0.7999999999660568,0.000000,0.05327892303466797,9999.200000,-0.053279

andes,p1,0.000001,0.999999,10000,9999.200000,10000,10000.000000,0.000000,0.7999999999660568,0.000000,0.05327892303466797,9999.200000,-0.053279

andes,p1,0.0000001,1.000000,10000,9999.200000,10000,10000.000000,0.000000,0.7999999999660568,0.000000,0.05327892303466797,9999.200000,-0.053279

andes,p1,0.00000001,1.000000,10000,9999.200000,10000,10000.000000,0.000000,0.7999999999660568,0.000000,0.05327892303466797,9999.200000,-0.053279

andes,p1,0.000000001,1.000000,10000,9999.200000,10000,10000.000000,0.000000,0.7999999999660568,0.000000,0.05327892303466797,9999.200000,-0.053279

andes,p1,0.0000000001,1.000000,10000,9999.200000,10000,10000.000000,0.000000,0.7999999999660568,0.000000,0.05327892303466797,9999.200000,-0.053279

andes,p1,0.00000000001,1.000000,10000,9999.200000,10000,10000.000000,0.000000,0.7999999999660568,0.000000,0.05327892303466797,9999.200000,-0.053279

