networkname,networkinstance,refinementFactor,coverageFactor,storminstantiation,stormECDistance,stormiteration,stormLastPLAtime,stormtotaltuningime,p1bayesserverinstantiation,p1bayesserverECDistance,p1bayesservertuningtime,stormbayesserverdistancediff,stormbayesservertimediff
asia,p1,0.5,0.500000,0.45,0.350000,4,0.001000,0.005000,0.2949521474952413,0.194952,0.020509004592895508,0.155048,-0.015509

asia,p1,0.45,0.550000,0.375,0.275000,3,0.002000,0.005000,0.2949521474952413,0.194952,0.020509004592895508,0.080048,-0.015509

asia,p1,0.4,0.600000,0.375,0.275000,3,0.002000,0.005000,0.2949521474952413,0.194952,0.020509004592895508,0.080048,-0.015509

asia,p1,0.35,0.650000,0.375,0.275000,3,0.002000,0.006000,0.2949521474952413,0.194952,0.020509004592895508,0.080048,-0.014509

asia,p1,0.3,0.700000,0.375,0.275000,3,0.002000,0.005000,0.2949521474952413,0.194952,0.020509004592895508,0.080048,-0.015509

asia,p1,0.25,0.750000,0.375,0.275000,3,0.002000,0.005000,0.2949521474952413,0.194952,0.020509004592895508,0.080048,-0.015509

asia,p1,0.20,0.800000,0.3125,0.212500,3,0.002000,0.007000,0.2949521474952413,0.194952,0.020509004592895508,0.017548,-0.013509

asia,p1,0.15,0.850000,0.3125,0.212500,3,0.002000,0.006000,0.2949521474952413,0.194952,0.020509004592895508,0.017548,-0.014509

asia,p1,0.10,0.900000,0.3125,0.212500,3,0.002000,0.006000,0.2949521474952413,0.194952,0.020509004592895508,0.017548,-0.014509

asia,p1,0.05,0.950000,0.296875,0.196875,3,0.003000,0.008000,0.2949521474952413,0.194952,0.020509004592895508,0.001923,-0.012509

asia,p1,0.04,0.960000,0.296875,0.196875,3,0.003000,0.008000,0.2949521474952413,0.194952,0.020509004592895508,0.001923,-0.012509

asia,p1,0.03,0.970000,0.2953125,0.195312,2,0.003000,0.005000,0.2949521474952413,0.194952,0.020509004592895508,0.000360,-0.015509

asia,p1,0.02,0.980000,0.2953125,0.195312,2,0.003000,0.005000,0.2949521474952413,0.194952,0.020509004592895508,0.000360,-0.015509

asia,p1,0.01,0.990000,0.2953125,0.195312,2,0.004000,0.006000,0.2949521474952413,0.194952,0.020509004592895508,0.000360,-0.014509

asia,p1,0.001,0.999000,0.2950195313,0.195020,2,0.005000,0.007000,0.2949521474952413,0.194952,0.020509004592895508,0.000068,-0.013509

asia,p1,0.0001,0.999900,0.2949829102,0.194983,2,0.007000,0.009000,0.2949521474952413,0.194952,0.020509004592895508,0.000031,-0.011509

asia,p1,0.00001,0.999990,0.2949531555,0.194953,2,0.008000,0.010000,0.2949521474952413,0.194952,0.020509004592895508,0.000001,-0.010509

asia,p1,0.000001,0.999999,0.2949525833,0.194953,2,0.010000,0.012000,0.2949521474952413,0.194952,0.020509004592895508,0.000001,-0.008509

asia,p1,0.0000001,1.000000,0.2949521542,0.194952,2,0.012000,0.014000,0.2949521474952413,0.194952,0.020509004592895508,0.000000,-0.006509

asia,p1,0.00000001,1.000000,0.2949521497,0.194952,2,0.012000,0.014000,0.2949521474952413,0.194952,0.020509004592895508,0.000000,-0.006509

asia,p1,0.000000001,1.000000,0.294952148,0.194952,2,0.014000,0.016000,0.2949521474952413,0.194952,0.020509004592895508,0.000000,-0.004509

asia,p1,0.0000000001,1.000000,0.2949521475,0.194952,2,0.017000,0.019000,0.2949521474952413,0.194952,0.020509004592895508,0.000000,-0.001509

asia,p1,0.00000000001,1.000000,0.2949521475,0.194952,2,0.024000,0.026000,0.2949521474952413,0.194952,0.020509004592895508,0.000000,0.005491

