networkname,networkinstance,refinementFactor,coverageFactor,storminstantiation,stormECDistance,stormiteration,stormLastPLAtime,stormtotaltuningime,p1bayesserverinstantiation,p1bayesserverECDistance,p1bayesservertuningtime,stormbayesserverdistancediff,stormbayesservertimediff
cancer,p1,0.5,0.500000,0.5,0.499000,5,0.001000,0.014000,10000,9999.999000,10000,-9999.500000,-9999.986000

cancer,p1,0.45,0.550000,0.60075,0.599750,4,0.002000,0.006000,10000,9999.999000,10000,-9999.399250,-9999.994000

cancer,p1,0.4,0.600000,0.60075,0.599750,4,0.002000,0.006000,10000,9999.999000,10000,-9999.399250,-9999.994000

cancer,p1,0.35,0.650000,0.60075,0.599750,4,0.001000,0.005000,10000,9999.999000,10000,-9999.399250,-9999.995000

cancer,p1,0.3,0.700000,0.60075,0.599750,4,0.002000,0.006000,10000,9999.999000,10000,-9999.399250,-9999.994000

cancer,p1,0.25,0.750000,0.60075,0.599750,4,0.001000,0.005000,10000,9999.999000,10000,-9999.399250,-9999.995000

cancer,p1,0.20,0.800000,0.500625,0.499625,4,0.002000,0.005000,10000,9999.999000,10000,-9999.499375,-9999.995000

cancer,p1,0.15,0.850000,0.500625,0.499625,4,0.002000,0.006000,10000,9999.999000,10000,-9999.499375,-9999.994000

cancer,p1,0.10,0.900000,0.4505625,0.449562,4,0.002000,0.006000,10000,9999.999000,10000,-9999.549438,-9999.994000

cancer,p1,0.05,0.950000,0.4505625,0.449562,4,0.002000,0.006000,10000,9999.999000,10000,-9999.549438,-9999.994000

cancer,p1,0.04,0.960000,0.4505625,0.449562,4,0.002000,0.006000,10000,9999.999000,10000,-9999.549438,-9999.994000

cancer,p1,0.03,0.970000,0.4505625,0.449562,4,0.003000,0.007000,10000,9999.999000,10000,-9999.549438,-9999.993000

cancer,p1,0.02,0.980000,0.4505625,0.449562,4,0.003000,0.007000,10000,9999.999000,10000,-9999.549438,-9999.993000

cancer,p1,0.01,0.990000,0.4505625,0.449562,4,0.003000,0.007000,10000,9999.999000,10000,-9999.549438,-9999.993000

cancer,p1,0.001,0.999000,0.4364824219,0.435482,4,0.004000,0.008000,10000,9999.999000,10000,-9999.563518,-9999.992000

cancer,p1,0.0001,0.999900,0.4360913086,0.435091,4,0.006000,0.009000,10000,9999.999000,10000,-9999.563909,-9999.991000

cancer,p1,0.00001,0.999990,0.436066864,0.435067,4,0.007000,0.011000,10000,9999.999000,10000,-9999.563933,-9999.989000

cancer,p1,0.000001,0.999999,0.436066864,0.435067,4,0.009000,0.013000,10000,9999.999000,10000,-9999.563933,-9999.987000

cancer,p1,0.0000001,1.000000,0.4360544508,0.435054,4,0.011000,0.015000,10000,9999.999000,10000,-9999.563946,-9999.985000

cancer,p1,0.00000001,1.000000,0.4360544269,0.435054,4,0.011000,0.015000,10000,9999.999000,10000,-9999.563946,-9999.985000

cancer,p1,0.000000001,1.000000,0.4360544224,0.435054,4,0.013000,0.017000,10000,9999.999000,10000,-9999.563946,-9999.983000

cancer,p1,0.0000000001,1.000000,0.436054422,0.435054,4,0.014000,0.018000,10000,9999.999000,10000,-9999.563946,-9999.982000

cancer,p1,0.00000000001,1.000000,0.4360544218,0.435054,4,0.015000,0.019000,10000,9999.999000,10000,-9999.563946,-9999.981000

