networkname,networkinstance,refinementFactor,coverageFactor,storminstantiation,stormECDistance,stormiteration,stormLastPLAtime,stormtotaltuningime,p1bayesserverinstantiation,p1bayesserverECDistance,p1bayesservertuningtime,stormbayesserverdistancediff,stormbayesservertimediff
earthquake,p1,0.5,0.500000,0.4005,0.399500,4,0.001000,0.005000,0.2682110068445412,0.267211,0.025549650192260742,0.132289,-0.020550

earthquake,p1,0.45,0.550000,0.30075,0.299750,3,0.001000,0.004000,0.2682110068445412,0.267211,0.025549650192260742,0.032539,-0.021550

earthquake,p1,0.4,0.600000,0.30075,0.299750,3,0.002000,0.004000,0.2682110068445412,0.267211,0.025549650192260742,0.032539,-0.021550

earthquake,p1,0.35,0.650000,0.30075,0.299750,3,0.002000,0.005000,0.2682110068445412,0.267211,0.025549650192260742,0.032539,-0.020550

earthquake,p1,0.3,0.700000,0.30075,0.299750,3,0.001000,0.004000,0.2682110068445412,0.267211,0.025549650192260742,0.032539,-0.021550

earthquake,p1,0.25,0.750000,0.30075,0.299750,3,0.001000,0.004000,0.2682110068445412,0.267211,0.025549650192260742,0.032539,-0.021550

earthquake,p1,0.20,0.800000,0.30075,0.299750,3,0.002000,0.005000,0.2682110068445412,0.267211,0.025549650192260742,0.032539,-0.020550

earthquake,p1,0.15,0.850000,0.30075,0.299750,3,0.002000,0.005000,0.2682110068445412,0.267211,0.025549650192260742,0.032539,-0.020550

earthquake,p1,0.10,0.900000,0.2756875,0.274687,3,0.002000,0.005000,0.2682110068445412,0.267211,0.025549650192260742,0.007476,-0.020550

earthquake,p1,0.05,0.950000,0.2756875,0.274687,3,0.003000,0.007000,0.2682110068445412,0.267211,0.025549650192260742,0.007476,-0.018550

earthquake,p1,0.04,0.960000,0.2756875,0.274687,3,0.002000,0.004000,0.2682110068445412,0.267211,0.025549650192260742,0.007476,-0.021550

earthquake,p1,0.03,0.970000,0.269421875,0.268422,3,0.004000,0.007000,0.2682110068445412,0.267211,0.025549650192260742,0.001211,-0.018550

earthquake,p1,0.02,0.980000,0.269421875,0.268422,3,0.003000,0.006000,0.2682110068445412,0.267211,0.025549650192260742,0.001211,-0.019550

earthquake,p1,0.01,0.990000,0.269421875,0.268422,3,0.003000,0.005000,0.2682110068445412,0.267211,0.025549650192260742,0.001211,-0.020550

earthquake,p1,0.001,0.999000,0.2682470703,0.267247,3,0.005000,0.008000,0.2682110068445412,0.267211,0.025549650192260742,0.000036,-0.017550

earthquake,p1,0.0001,0.999900,0.2682225952,0.267223,3,0.006000,0.009000,0.2682110068445412,0.267211,0.025549650192260742,0.000012,-0.016550

earthquake,p1,0.00001,0.999990,0.2682164764,0.267216,3,0.007000,0.009000,0.2682110068445412,0.267211,0.025549650192260742,0.000005,-0.016550

earthquake,p1,0.000001,0.999999,0.2682111225,0.267211,3,0.009000,0.012000,0.2682110068445412,0.267211,0.025549650192260742,0.000000,-0.013550

earthquake,p1,0.0000001,1.000000,0.2682110269,0.267211,3,0.011000,0.014000,0.2682110068445412,0.267211,0.025549650192260742,0.000000,-0.011550

earthquake,p1,0.00000001,1.000000,0.268211015,0.267211,3,0.012000,0.015000,0.2682110068445412,0.267211,0.025549650192260742,0.000000,-0.010550

earthquake,p1,0.000000001,1.000000,0.268211009,0.267211,3,0.012000,0.015000,0.2682110068445412,0.267211,0.025549650192260742,0.000000,-0.010550

earthquake,p1,0.0000000001,1.000000,0.2682110069,0.267211,3,0.015000,0.017000,0.2682110068445412,0.267211,0.025549650192260742,0.000000,-0.008550

earthquake,p1,0.00000000001,1.000000,0.2682110068,0.267211,3,0.015000,0.018000,0.2682110068445412,0.267211,0.025549650192260742,0.000000,-0.007550

