thresshold,networkname,networkinstance,refinementFactor,coverageFactor,storminstantiation,stormECDistance,stormiteration,stormLastPLAtime,stormtotaltuningime,p1bayesserverinstantiation,p1bayesserverECDistance,p1bayesservertuningtime,stormbayesserverdistancediff,stormbayesservertimediff,samiamEC,stormsamiamdiff,regionExpansionFac,maxIter,epsilon
0.3,hepar2,p1,0.0000001,1.000000,0.375,0.002219,1,0.522000,0.522000,0.07960198270809421,0.297617,0.026882171630859375,0.295398,0.495118,0.297617,0.295398,1.250000,2,0.800000
0.3,hepar2,p1,0.0000001,1.000000,0.375,0.002219,1,0.502000,0.502000,0.07960198270809421,0.297617,0.026882171630859375,0.295398,0.475118,0.297617,0.295398,1.250000,4,0.512000
0.3,hepar2,p1,0.0000001,1.000000,0.375,0.002219,1,0.409000,0.409000,0.07960198270809421,0.297617,0.026882171630859375,0.295398,0.382118,0.297617,0.295398,1.250000,6,0.327680
0.3,hepar2,p1,0.0000001,1.000000,0.375,0.002219,1,0.448000,0.448000,0.07960198270809421,0.297617,0.026882171630859375,0.295398,0.421118,0.297617,0.295398,1.250000,8,0.209715
0.3,hepar2,p1,0.0000001,1.000000,0.32895708750000002,0.048262,1,0.395000,0.395000,0.07960198270809421,0.297617,0.026882171630859375,0.249355,0.368118,0.297617,0.249355,2.000000,2,0.500000
0.3,hepar2,p1,0.0000001,1.000000,0.37721890000000002,0.000000,1,0.420000,0.420000,0.07960198270809421,0.297617,0.026882171630859375,0.297617,0.393118,0.297617,0.297617,2.000000,4,0.125000
0.3,hepar2,p1,0.0000001,1.000000,0.37721890000000002,0.000000,1,0.058000,0.058000,0.07960198270809421,0.297617,0.026882171630859375,0.297617,0.031118,0.297617,0.297617,2.000000,6,0.031250
0.3,hepar2,p1,0.0000001,1.000000,0.37721890000000002,0.000000,1,0.059000,0.059000,0.07960198270809421,0.297617,0.026882171630859375,0.297617,0.032118,0.297617,0.297617,2.000000,8,0.007812
0.3,hepar2,p1,0.0000001,1.000000,0.32895708750000002,0.048262,1,0.420000,0.420000,0.07960198270809421,0.297617,0.026882171630859375,0.249355,0.393118,0.297617,0.249355,2.500000,2,0.400000
0.3,hepar2,p1,0.0000001,1.000000,0.37721890000000002,0.000000,1,0.421000,0.421000,0.07960198270809421,0.297617,0.026882171630859375,0.297617,0.394118,0.297617,0.297617,2.500000,4,0.064000
0.3,hepar2,p1,0.0000001,1.000000,0.37721890000000002,0.000000,1,0.059000,0.059000,0.07960198270809421,0.297617,0.026882171630859375,0.297617,0.032118,0.297617,0.297617,2.500000,6,0.010240
