thresshold,networkname,networkinstance,refinementFactor,coverageFactor,storminstantiation,stormECDistance,stormiteration,stormLastPLAtime,stormtotaltuningime,p1bayesserverinstantiation,p1bayesserverECDistance,p1bayesservertuningtime,stormbayesserverdistancediff,stormbayesservertimediff
0.3,hailfinder,p1,0.0000001,1.000000,0.10000000000000001,0.001,0,10000.000000,0.000000,10000,9999.900000,10000,-9999.900000,-10000.000000
0.35,hailfinder,p1,0.0000001,1.000000,0.10000000000000001,0.001,0,10000.000000,0.000000,10000,9999.900000,10000,-9999.900000,-10000.000000
0.4,hailfinder,p1,0.0000001,1.000000,0.14996889734268187,0.049969,0,10000.000000,0.000000,10000,9999.900000,10000,-9999.850031,-10000.000000
0.45,hailfinder,p1,0.0000001,1.000000,0.49140354394912722,0.391404,3,0.091000,0.118000,10000,9999.900000,10000,-9999.508596,-9999.882000
0.5,hailfinder,p1,0.0000001,1.000000,0.83283817768096924,0.732838,4,0.087000,0.133000,10000,9999.900000,10000,-9999.167162,-9999.867000
0.55,hailfinder,p1,0.0000001,1.000000,10000,10,6,0.013000,0.081000,10000,9999.900000,10000,0.0000001,-9999.919000
0.6,hailfinder,p1,0.0000001,1.000000,10000,10,6,0.013000,0.080000,10000,9999.900000,10000,0.0000001,-9999.920000
0.65,hailfinder,p1,0.0000001,1.000000,10000,10,6,0.017000,0.104000,10000,9999.900000,10000,0.0000001,-9999.896000
0.7,hailfinder,p1,0.0000001,1.000000,10000,10,6,0.014000,0.099000,10000,9999.900000,10000,0.0000001,-9999.901000
0.75,hailfinder,p1,0.0000001,1.000000,10000,10,6,0.013000,0.079000,10000,9999.900000,10000,0.0000001,-9999.921000
0.8,hailfinder,p1,0.0000001,1.000000,10000,10,6,0.013000,0.079000,10000,9999.900000,10000,0.0000001,-9999.921000
0.85,hailfinder,p1,0.0000001,1.000000,10000,10,6,0.015000,0.090000,10000,9999.900000,10000,0.0000001,-9999.910000
0.9,hailfinder,p1,0.0000001,1.000000,10000,10,6,0.013000,0.079000,10000,9999.900000,10000,0.0000001,-9999.921000
0.95,hailfinder,p1,0.0000001,1.000000,10000,10,6,0.013000,0.079000,10000,9999.900000,10000,0.0000001,-9999.921000
