networkname,networkinstance,refinementFactor,coverageFactor,storminstantiation,stormECDistance,stormiteration,stormLastPLAtime,stormtotaltuningime,p1bayesserverinstantiation,p1bayesserverECDistance,p1bayesservertuningtime,stormbayesserverdistancediff,stormbayesservertimediff,samiamEC,stormsamiamdiff
hepar2,p1,0.10,0.900000,0.04857618125,0.328643,3,0.110000,0.234000,0.07960198270809421,0.297617,0.026882171630859375,0.031026,0.207118,0.297617,0.031026

hepar2,p1,0.01,0.990000,0.07893629453,0.298283,3,0.152000,0.274000,0.07960198270809421,0.297617,0.026882171630859375,0.000666,0.247118,0.297617,0.000666

hepar2,p1,0.001,0.999000,0.07893629453,0.298283,3,0.208000,0.323000,0.07960198270809421,0.297617,0.026882171630859375,0.000666,0.296118,0.297617,0.000666

hepar2,p1,0.0001,0.999900,0.07960042201,0.297618,3,0.268000,0.385000,0.07960198270809421,0.297617,0.026882171630859375,0.000002,0.358118,0.297617,0.000002

hepar2,p1,0.00001,0.999990,0.07960042201,0.297618,3,0.343000,0.457000,0.07960198270809421,0.297617,0.026882171630859375,0.000002,0.430118,0.297617,0.000002

hepar2,p1,0.000001,0.999999,0.07960190444,0.297617,3,0.372000,0.490000,0.07960198270809421,0.297617,0.026882171630859375,0.000000,0.463118,0.297617,0.000000

