thresshold,networkname,networkinstance,refinementFactor,coverageFactor,storminstantiation,stormECDistance,stormiteration,stormLastPLAtime,stormtotaltuningime,p1bayesserverinstantiation,p1bayesserverECDistance,p1bayesservertuningtime,stormbayesserverdistancediff,stormbayesservertimediff,samiamEC,stormsamiamdiff,regionExpansionFac,maxIter,epsilon
0.9,hepar2,p1,0.0000001,1.000000,0.90513420104980469,0.527915,1,0.509000,0.509000,0.07960198270809421,0.297617,0.026882171630859375,0.825532,0.482118,0.297617,0.825532,1.250000,2,0.800000
0.9,hepar2,p1,0.0000001,1.000000,0.90513420104980469,0.527915,1,0.409000,0.409000,0.07960198270809421,0.297617,0.026882171630859375,0.825532,0.382118,0.297617,0.825532,1.250000,4,0.512000
0.9,hepar2,p1,0.0000001,1.000000,0.90513420104980469,0.527915,1,0.407000,0.407000,0.07960198270809421,0.297617,0.026882171630859375,0.825532,0.380118,0.297617,0.825532,1.250000,6,0.327680
0.9,hepar2,p1,0.0000001,1.000000,0.90513420104980469,0.527915,1,0.405000,0.405000,0.07960198270809421,0.297617,0.026882171630859375,0.825532,0.378118,0.297617,0.825532,1.250000,8,0.209715
0.9,hepar2,p1,0.0000001,1.000000,0.90513420104980469,0.527915,2,0.398000,0.458000,0.07960198270809421,0.297617,0.026882171630859375,0.825532,0.431118,0.297617,0.825532,2.000000,2,0.500000
0.9,hepar2,p1,0.0000001,1.000000,0.90513420104980469,0.527915,4,0.393000,0.571000,0.07960198270809421,0.297617,0.026882171630859375,0.825532,0.544118,0.297617,0.825532,2.000000,4,0.125000
0.9,hepar2,p1,0.0000001,1.000000,0.90513420104980469,0.527915,6,0.398000,0.687000,0.07960198270809421,0.297617,0.026882171630859375,0.825532,0.660118,0.297617,0.825532,2.000000,6,0.031250
0.9,hepar2,p1,0.0000001,1.000000,0.90513420104980469,0.527915,8,0.429000,0.899000,0.07960198270809421,0.297617,0.026882171630859375,0.825532,0.872118,0.297617,0.825532,2.000000,8,0.007812
0.9,hepar2,p1,0.0000001,1.000000,0.90513420104980469,0.527915,2,0.415000,0.479000,0.07960198270809421,0.297617,0.026882171630859375,0.825532,0.452118,0.297617,0.825532,2.500000,2,0.400000
0.9,hepar2,p1,0.0000001,1.000000,0.90513420104980469,0.527915,4,0.779000,1.102000,0.07960198270809421,0.297617,0.026882171630859375,0.825532,1.075118,0.297617,0.825532,2.500000,4,0.064000
0.9,hepar2,p1,0.0000001,1.000000,0.90513420104980469,0.527915,6,0.659000,1.185000,0.07960198270809421,0.297617,0.026882171630859375,0.825532,1.158118,0.297617,0.825532,2.500000,6,0.010240
0.9,hepar2,p1,0.0000001,1.000000,0.90513420104980469,0.527915,8,0.425000,0.862000,0.07960198270809421,0.297617,0.026882171630859375,0.825532,0.835118,0.297617,0.825532,2.500000,8,0.001638
0.9,hepar2,p1,0.0000001,1.000000,0.90513420104980469,0.527915,2,0.436000,0.501000,0.07960198270809421,0.297617,0.026882171630859375,0.825532,0.474118,0.297617,0.825532,5.000000,2,0.200000
0.9,hepar2,p1,0.0000001,1.000000,0.90513420104980469,0.527915,4,0.406000,0.581000,0.07960198270809421,0.297617,0.026882171630859375,0.825532,0.554118,0.297617,0.825532,5.000000,4,0.008000
0.9,hepar2,p1,0.0000001,1.000000,0.90513420104980469,0.527915,6,0.459000,0.919000,0.07960198270809421,0.297617,0.026882171630859375,0.825532,0.892118,0.297617,0.825532,5.000000,6,0.000320
0.9,hepar2,p1,0.0000001,1.000000,0.90513420104980469,0.527915,8,0.477000,0.984000,0.07960198270809421,0.297617,0.026882171630859375,0.825532,0.957118,0.297617,0.825532,5.000000,8,0.000013
