thresshold,networkname,networkinstance,refinementFactor,coverageFactor,storminstantiation,stormECDistance,stormiteration,stormLastPLAtime,stormtotaltuningime,p1bayesserverinstantiation,p1bayesserverECDistance,p1bayesservertuningtime,stormbayesserverdistancediff,stormbayesservertimediff,samiamEC,stormsamiamdiff,regionExpansionFac,maxIter,epsilon
0.6,hepar2,p1,0.0000001,1.000000,0.59555971622467041,0.218341,1,0.404000,0.404000,0.07960198270809421,0.297617,0.026882171630859375,0.515958,0.377118,0.297617,0.515958,1.250000,2,0.800000
0.6,hepar2,p1,0.0000001,1.000000,0.59555971622467041,0.218341,1,0.404000,0.404000,0.07960198270809421,0.297617,0.026882171630859375,0.515958,0.377118,0.297617,0.515958,1.250000,4,0.512000
0.6,hepar2,p1,0.0000001,1.000000,0.59555971622467041,0.218341,1,0.404000,0.404000,0.07960198270809421,0.297617,0.026882171630859375,0.515958,0.377118,0.297617,0.515958,1.250000,6,0.327680
0.6,hepar2,p1,0.0000001,1.000000,0.59555971622467041,0.218341,1,0.419000,0.419000,0.07960198270809421,0.297617,0.026882171630859375,0.515958,0.392118,0.297617,0.515958,1.250000,8,0.209715
0.6,hepar2,p1,0.0000001,1.000000,0.59555965240429043,0.218341,1,0.403000,0.403000,0.07960198270809421,0.297617,0.026882171630859375,0.515958,0.376118,0.297617,0.515958,2.000000,2,0.500000
0.6,hepar2,p1,0.0000001,1.000000,0.5955596247066498,0.218341,2,0.400000,0.462000,0.07960198270809421,0.297617,0.026882171630859375,0.515958,0.435118,0.297617,0.515958,2.000000,4,0.125000
0.6,hepar2,p1,0.0000001,1.000000,0.5955596247066498,0.218341,4,0.402000,0.576000,0.07960198270809421,0.297617,0.026882171630859375,0.515958,0.549118,0.297617,0.515958,2.000000,6,0.031250
0.6,hepar2,p1,0.0000001,1.000000,0.5955596247066498,0.218341,6,0.417000,0.711000,0.07960198270809421,0.297617,0.026882171630859375,0.515958,0.684118,0.297617,0.515958,2.000000,8,0.007812
0.6,hepar2,p1,0.0000001,1.000000,0.59555965240429043,0.218341,1,0.402000,0.402000,0.07960198270809421,0.297617,0.026882171630859375,0.515958,0.375118,0.297617,0.515958,2.500000,2,0.400000
0.6,hepar2,p1,0.0000001,1.000000,0.5955596247066498,0.218341,2,0.412000,0.474000,0.07960198270809421,0.297617,0.026882171630859375,0.515958,0.447118,0.297617,0.515958,2.500000,4,0.064000
0.6,hepar2,p1,0.0000001,1.000000,0.5955596247066498,0.218341,4,0.456000,0.631000,0.07960198270809421,0.297617,0.026882171630859375,0.515958,0.604118,0.297617,0.515958,2.500000,6,0.010240
0.6,hepar2,p1,0.0000001,1.000000,0.5955596247066498,0.218341,6,0.434000,0.741000,0.07960198270809421,0.297617,0.026882171630859375,0.515958,0.714118,0.297617,0.515958,2.500000,8,0.001638
0.6,hepar2,p1,0.0000001,1.000000,0.59555971622467041,0.218341,2,0.448000,0.526000,0.07960198270809421,0.297617,0.026882171630859375,0.515958,0.499118,0.297617,0.515958,5.000000,2,0.200000
0.6,hepar2,p1,0.0000001,1.000000,0.59555971622467041,0.218341,4,0.400000,0.571000,0.07960198270809421,0.297617,0.026882171630859375,0.515958,0.544118,0.297617,0.515958,5.000000,4,0.008000
0.6,hepar2,p1,0.0000001,1.000000,0.59555971622467041,0.218341,6,0.410000,0.750000,0.07960198270809421,0.297617,0.026882171630859375,0.515958,0.723118,0.297617,0.515958,5.000000,6,0.000320
0.6,hepar2,p1,0.0000001,1.000000,0.59555971622467041,0.218341,8,0.408000,0.821000,0.07960198270809421,0.297617,0.026882171630859375,0.515958,0.794118,0.297617,0.515958,5.000000,8,0.000013
