thresshold,networkname,networkinstance,refinementFactor,coverageFactor,storminstantiation,stormECDistance,stormiteration,stormLastPLAtime,stormtotaltuningime,p1bayesserverinstantiation,p1bayesserverECDistance,p1bayesservertuningtime,stormbayesserverdistancediff,stormbayesservertimediff
0.3,hepar2,p1,0.0000001,1.000000,0.37721890000000002,0.001,0,10000.000000,0.000000,10000,9999.622781,10000,-9999.622781,-10000.000000
0.35,hepar2,p1,0.0000001,1.000000,0.37721890000000002,0.001,0,10000.000000,0.000000,10000,9999.622781,10000,-9999.622781,-10000.000000
0.4,hepar2,p1,0.0000001,1.000000,0.38917655686035157,0.011958,1,10000.000000,0.000000,10000,9999.622781,10000,-9999.610823,-10000.000000
0.45,hepar2,p1,0.0000001,1.000000,0.44077235249176028,0.063553,1,0.084000,0.084000,10000,9999.622781,10000,-9999.559228,-9999.916000
0.5,hepar2,p1,0.0000001,1.000000,0.4923680850614548,0.115149,1,0.064000,0.064000,10000,9999.622781,10000,-9999.507632,-9999.936000
0.55,hepar2,p1,0.0000001,1.000000,0.5439640858520508,0.166745,2,0.418000,0.485000,10000,9999.622781,10000,-9999.456036,-9999.515000
0.6,hepar2,p1,0.0000001,1.000000,0.5955596247066498,0.218341,2,0.405000,0.464000,10000,9999.622781,10000,-9999.404440,-9999.536000
0.65,hepar2,p1,0.0000001,1.000000,0.6471553756022751,0.269936,3,0.414000,0.530000,10000,9999.622781,10000,-9999.352845,-9999.470000
0.7,hepar2,p1,0.0000001,1.000000,0.6987511510865807,0.321532,3,0.419000,0.541000,10000,9999.622781,10000,-9999.301249,-9999.459000
0.75,hepar2,p1,0.0000001,1.000000,0.75034692657088642,0.373128,3,0.427000,0.546000,10000,9999.622781,10000,-9999.249653,-9999.454000
0.8,hepar2,p1,0.0000001,1.000000,0.8019533684646607,0.424734,3,0.417000,0.536000,10000,9999.622781,10000,-9999.198047,-9999.464000
0.85,hepar2,p1,0.0000001,1.000000,0.85353842525317669,0.476320,3,0.412000,0.528000,10000,9999.622781,10000,-9999.146461,-9999.472000
0.9,hepar2,p1,0.0000001,1.000000,0.90513420104980469,0.527915,4,0.423000,0.623000,10000,9999.622781,10000,-9999.094866,-9999.377000
0.95,hepar2,p1,0.0000001,1.000000,0.95673000812530518,0.579511,4,0.434000,0.645000,10000,9999.622781,10000,-9999.043270,-9999.355000
