networkname,networkinstance,refinementFactor,coverageFactor,storminstantiation,stormECDistance,stormiteration,stormLastPLAtime,stormtotaltuningime,p1bayesserverinstantiation,p1bayesserverECDistance,p1bayesservertuningtime,stormbayesserverdistancediff,stormbayesservertimediff
hepar2,p1,0.5,0.500000,10000,9999.622781,6,0.072000,0.412000,0.07960198270809421,0.297617,0.026882171630859375,9999.325164,0.385118

hepar2,p1,0.45,0.550000,10000,9999.622781,6,0.124000,0.616000,0.07960198270809421,0.297617,0.026882171630859375,9999.325164,0.589118

hepar2,p1,0.4,0.600000,10000,9999.622781,6,0.132000,0.666000,0.07960198270809421,0.297617,0.026882171630859375,9999.325164,0.639118

hepar2,p1,0.35,0.650000,10000,9999.622781,6,0.094000,0.496000,0.07960198270809421,0.297617,0.026882171630859375,9999.325164,0.469118

hepar2,p1,0.3,0.700000,10000,9999.622781,6,0.087000,0.472000,0.07960198270809421,0.297617,0.026882171630859375,9999.325164,0.445118

hepar2,p1,0.25,0.750000,10000,9999.622781,6,0.090000,0.468000,0.07960198270809421,0.297617,0.026882171630859375,9999.325164,0.441118

hepar2,p1,0.20,0.800000,10000,9999.622781,6,0.093000,0.491000,0.07960198270809421,0.297617,0.026882171630859375,9999.325164,0.464118

hepar2,p1,0.15,0.850000,10000,9999.622781,6,0.107000,0.614000,0.07960198270809421,0.297617,0.026882171630859375,9999.325164,0.587118

hepar2,p1,0.10,0.900000,0.04857618125,0.328643,3,0.110000,0.234000,0.07960198270809421,0.297617,0.026882171630859375,0.031026,0.207118

hepar2,p1,0.05,0.950000,0.07286427187,0.304355,3,0.121000,0.243000,0.07960198270809421,0.297617,0.026882171630859375,0.006738,0.216118

hepar2,p1,0.04,0.960000,0.07286427187,0.304355,3,0.122000,0.251000,0.07960198270809421,0.297617,0.026882171630859375,0.006738,0.224118

hepar2,p1,0.03,0.970000,0.07286427187,0.304355,3,0.174000,0.377000,0.07960198270809421,0.297617,0.026882171630859375,0.006738,0.350118

hepar2,p1,0.02,0.980000,0.07286427187,0.304355,3,0.155000,0.275000,0.07960198270809421,0.297617,0.026882171630859375,0.006738,0.248118

hepar2,p1,0.01,0.990000,0.07893629453,0.298283,3,0.152000,0.274000,0.07960198270809421,0.297617,0.026882171630859375,0.000666,0.247118

hepar2,p1,0.001,0.999000,0.07893629453,0.298283,3,0.208000,0.323000,0.07960198270809421,0.297617,0.026882171630859375,0.000666,0.296118

hepar2,p1,0.0001,0.999900,0.07960042201,0.297618,3,0.268000,0.385000,0.07960198270809421,0.297617,0.026882171630859375,0.000001,0.358118

hepar2,p1,0.00001,0.999990,0.07960042201,0.297618,3,0.343000,0.457000,0.07960198270809421,0.297617,0.026882171630859375,0.000001,0.430118

hepar2,p1,0.000001,0.999999,0.07960190444,0.297617,3,0.372000,0.490000,0.07960198270809421,0.297617,0.026882171630859375,0.0000001,0.463118

hepar2,p1,0.0000001,1.000000,0.07960190444,0.297617,3,0.419000,0.546000,0.07960198270809421,0.297617,0.026882171630859375,0.0000001,0.519118

hepar2,p1,0.00000001,1.000000,0.07960197972,0.297617,3,0.445000,0.566000,0.07960198270809421,0.297617,0.026882171630859375,0.0000001,0.539118

hepar2,p1,0.000000001,1.000000,0.07960198116,0.297617,3,0.643000,0.775000,0.07960198270809421,0.297617,0.026882171630859375,0.0000001,0.748118

hepar2,p1,0.0000000001,1.000000,0.07960198134,0.297617,3,0.601000,0.718000,0.07960198270809421,0.297617,0.026882171630859375,0.0000001,0.691118

hepar2,p1,0.00000000001,1.000000,0.07960197972,0.297617,3,0.601000,0.720000,0.07960198270809421,0.297617,0.026882171630859375,0.0000001,0.693118

