networkname,networkinstance,refinementFactor,coverageFactor,storminstantiation,stormECDistance,stormiteration,stormLastPLAtime,stormtotaltuningime,p1bayesserverinstantiation,p1bayesserverECDistance,p1bayesservertuningtime,stormbayesserverdistancediff,stormbayesservertimediff
insurance,p1,0.5,0.500000,10000,9999.700000,6,0.165000,0.951000,0.9278006794543845,0.627801,0.032144784927368164,9999.072199,0.918855

insurance,p1,0.45,0.550000,10000,9999.700000,6,0.233000,1.323000,0.9278006794543845,0.627801,0.032144784927368164,9999.072199,1.290855

insurance,p1,0.4,0.600000,10000,9999.700000,6,0.188000,1.061000,0.9278006794543845,0.627801,0.032144784927368164,9999.072199,1.028855

insurance,p1,0.35,0.650000,10000,9999.700000,6,0.192000,1.037000,0.9278006794543845,0.627801,0.032144784927368164,9999.072199,1.004855

insurance,p1,0.3,0.700000,10000,9999.700000,6,0.190000,1.031000,0.9278006794543845,0.627801,0.032144784927368164,9999.072199,0.998855

insurance,p1,0.25,0.750000,10000,9999.700000,6,0.188000,1.026000,0.9278006794543845,0.627801,0.032144784927368164,9999.072199,0.993855

insurance,p1,0.20,0.800000,10000,9999.700000,6,0.222000,1.122000,0.9278006794543845,0.627801,0.032144784927368164,9999.072199,1.089855

insurance,p1,0.15,0.850000,10000,9999.700000,6,0.222000,1.123000,0.9278006794543845,0.627801,0.032144784927368164,9999.072199,1.090855

insurance,p1,0.10,0.900000,0.9375,0.637500,4,0.271000,0.734000,0.9278006794543845,0.627801,0.032144784927368164,0.009699,0.701855

insurance,p1,0.05,0.950000,0.9375,0.637500,4,0.280000,0.741000,0.9278006794543845,0.627801,0.032144784927368164,0.009699,0.708855

insurance,p1,0.04,0.960000,0.9375,0.637500,4,0.281000,0.739000,0.9278006794543845,0.627801,0.032144784927368164,0.009699,0.706855

insurance,p1,0.03,0.970000,0.9375,0.637500,4,0.471000,1.056000,0.9278006794543845,0.627801,0.032144784927368164,0.009699,1.023855

insurance,p1,0.02,0.980000,0.9375,0.637500,4,0.386000,0.924000,0.9278006794543845,0.627801,0.032144784927368164,0.009699,0.891855

insurance,p1,0.01,0.990000,0.9296875,0.629687,4,0.345000,0.805000,0.9278006794543845,0.627801,0.032144784927368164,0.001886,0.772855

insurance,p1,0.001,0.999000,0.9287109375,0.628711,4,0.494000,1.028000,0.9278006794543845,0.627801,0.032144784927368164,0.000910,0.995855

insurance,p1,0.0001,0.999900,0.9278564453,0.627856,4,0.556000,1.032000,0.9278006794543845,0.627801,0.032144784927368164,0.000055,0.999855

insurance,p1,0.00001,0.999990,0.9278030396,0.627803,4,0.623000,1.079000,0.9278006794543845,0.627801,0.032144784927368164,0.000002,1.046855

insurance,p1,0.000001,0.999999,0.9278011322,0.627801,4,0.710000,1.169000,0.9278006794543845,0.627801,0.032144784927368164,0.000000,1.136855

insurance,p1,0.0000001,1.000000,0.9278007746,0.627801,4,0.832000,1.289000,0.9278006794543845,0.627801,0.032144784927368164,0.000000,1.256855

insurance,p1,0.00000001,1.000000,0.9278011322,0.627801,4,0.952000,1.445000,0.9278006794543845,0.627801,0.032144784927368164,0.000000,1.412855

insurance,p1,0.000000001,1.000000,0.9278006814,0.627801,4,0.996000,1.461000,0.9278006794543845,0.627801,0.032144784927368164,0.000000,1.428855

insurance,p1,0.0000000001,1.000000,0.9278006852,0.627801,4,1.114000,1.578000,0.9278006794543845,0.627801,0.032144784927368164,0.000000,1.545855

insurance,p1,0.00000000001,1.000000,0.9278006795,0.627801,4,1.218000,1.676000,0.9278006794543845,0.627801,0.032144784927368164,0.000000,1.643855

