networkname,networkinstance,refinementFactor,coverageFactor,storminstantiation,stormECDistance,stormiteration,stormLastPLAtime,stormtotaltuningime,p1bayesserverinstantiation,p1bayesserverECDistance,p1bayesservertuningtime,stormbayesserverdistancediff,stormbayesservertimediff,samiamEC,stormsamiamdiff
sachs,p1,0.10,0.900000,10000,9999.449177,6,0.003000,0.014000,0.9755397345978837,0.424716,0.023699283599853516,9999.024460,-0.009699,0.424717,9999.024460

sachs,p1,0.01,0.990000,0.9765625,0.425739,4,0.005000,0.011000,0.9755397345978837,0.424716,0.023699283599853516,0.001023,-0.012699,0.424717,0.001023

sachs,p1,0.001,0.999000,0.9755859375,0.424763,4,0.007000,0.011000,0.9755397345978837,0.424716,0.023699283599853516,0.000046,-0.012699,0.424717,0.000046

sachs,p1,0.0001,0.999900,0.9755859375,0.424763,4,0.010000,0.015000,0.9755397345978837,0.424716,0.023699283599853516,0.000046,-0.008699,0.424717,0.000046

sachs,p1,0.00001,0.999990,0.9755401611,0.424717,4,0.012000,0.017000,0.9755397345978837,0.424716,0.023699283599853516,0.000000,-0.006699,0.424717,0.000000

sachs,p1,0.000001,0.999999,0.9755401611,0.424717,4,0.012000,0.016000,0.9755397345978837,0.424716,0.023699283599853516,0.000000,-0.007699,0.424717,0.000000

