thresshold,networkname,networkinstance,refinementFactor,coverageFactor,storminstantiation,stormECDistance,stormiteration,stormLastPLAtime,stormtotaltuningime,p1bayesserverinstantiation,p1bayesserverECDistance,p1bayesservertuningtime,stormbayesserverdistancediff,stormbayesservertimediff,samiamEC,stormsamiamdiff
0.3,sachs,p1,0.0000001,1.000000,0.55082326000000004,0.000000,0,10000.000000,0.000000,0.9755397345978837,0.424716,0.023699283599853516,0.424716,-0.023699,0.424717,0.424717
0.35,sachs,p1,0.0000001,1.000000,0.55082326000000004,0.000000,0,10000.000000,0.000000,0.9755397345978837,0.424716,0.023699283599853516,0.424716,-0.023699,0.424717,0.424717
0.4,sachs,p1,0.0000001,1.000000,0.55082326000000004,0.000000,0,10000.000000,0.000000,0.9755397345978837,0.424716,0.023699283599853516,0.424716,-0.023699,0.424717,0.424717
0.45,sachs,p1,0.0000001,1.000000,0.55082326000000004,0.000000,0,10000.000000,0.000000,0.9755397345978837,0.424716,0.023699283599853516,0.424716,-0.023699,0.424717,0.424717
0.5,sachs,p1,0.0000001,1.000000,0.55082326000000004,0.000000,0,10000.000000,0.000000,0.9755397345978837,0.424716,0.023699283599853516,0.424716,-0.023699,0.424717,0.424717
0.55,sachs,p1,0.0000001,1.000000,0.63799280290866855,0.087170,1,0.003000,0.003000,0.9755397345978837,0.424716,0.023699283599853516,0.337547,-0.020699,0.424717,0.337547
0.6,sachs,p1,0.0000001,1.000000,0.75050841634536747,0.199685,2,0.021000,0.024000,0.9755397345978837,0.424716,0.023699283599853516,0.225031,0.000301,0.424717,0.225032
0.65,sachs,p1,0.0000001,1.000000,0.86302408066655634,0.312201,3,0.015000,0.019000,0.9755397345978837,0.424716,0.023699283599853516,0.112516,-0.004699,0.424717,0.112516
0.7,sachs,p1,0.0000001,1.000000,0.97553965070611237,0.424716,3,0.021000,0.025000,0.9755397345978837,0.424716,0.023699283599853516,0.000000,0.001301,0.424717,0.000000
0.75,sachs,p1,0.0000001,1.000000,10000,10,6,0.001000,0.011000,0.9755397345978837,0.424716,0.023699283599853516,9999.024460,-0.012699,0.424717,9999.024460
0.8,sachs,p1,0.0000001,1.000000,10000,10,6,0.002000,0.011000,0.9755397345978837,0.424716,0.023699283599853516,9999.024460,-0.012699,0.424717,9999.024460
0.85,sachs,p1,0.0000001,1.000000,10000,10,6,0.002000,0.012000,0.9755397345978837,0.424716,0.023699283599853516,9999.024460,-0.011699,0.424717,9999.024460
0.9,sachs,p1,0.0000001,1.000000,10000,10,6,0.002000,0.013000,0.9755397345978837,0.424716,0.023699283599853516,9999.024460,-0.010699,0.424717,9999.024460
0.95,sachs,p1,0.0000001,1.000000,10000,10,6,0.002000,0.012000,0.9755397345978837,0.424716,0.023699283599853516,9999.024460,-0.011699,0.424717,9999.024460
