networkname,networkinstance,refinementFactor,coverageFactor,storminstantiation,stormECDistance,stormiteration,stormLastPLAtime,stormtotaltuningime,p1bayesserverinstantiation,p1bayesserverECDistance,p1bayesservertuningtime,stormbayesserverdistancediff,stormbayesservertimediff
sachs,p1,0.5,0.500000,10000,9999.449177,6,0.002000,0.008000,0.9755397345978837,0.424716,0.023699283599853516,9999.024461,-0.015699

sachs,p1,0.45,0.550000,10000,9999.449177,6,0.002000,0.010000,0.9755397345978837,0.424716,0.023699283599853516,9999.024461,-0.013699

sachs,p1,0.4,0.600000,10000,9999.449177,6,0.002000,0.011000,0.9755397345978837,0.424716,0.023699283599853516,9999.024461,-0.012699

sachs,p1,0.35,0.650000,10000,9999.449177,6,0.002000,0.010000,0.9755397345978837,0.424716,0.023699283599853516,9999.024461,-0.013699

sachs,p1,0.3,0.700000,10000,9999.449177,6,0.002000,0.010000,0.9755397345978837,0.424716,0.023699283599853516,9999.024461,-0.013699

sachs,p1,0.25,0.750000,10000,9999.449177,6,0.002000,0.010000,0.9755397345978837,0.424716,0.023699283599853516,9999.024461,-0.013699

sachs,p1,0.20,0.800000,10000,9999.449177,6,0.003000,0.014000,0.9755397345978837,0.424716,0.023699283599853516,9999.024461,-0.009699

sachs,p1,0.15,0.850000,10000,9999.449177,6,0.003000,0.014000,0.9755397345978837,0.424716,0.023699283599853516,9999.024461,-0.009699

sachs,p1,0.10,0.900000,10000,9999.449177,6,0.003000,0.014000,0.9755397345978837,0.424716,0.023699283599853516,9999.024461,-0.009699

sachs,p1,0.05,0.950000,10000,9999.449177,6,0.004000,0.016000,0.9755397345978837,0.424716,0.023699283599853516,9999.024461,-0.007699

sachs,p1,0.04,0.960000,10000,9999.449177,6,0.004000,0.016000,0.9755397345978837,0.424716,0.023699283599853516,9999.024461,-0.007699

sachs,p1,0.03,0.970000,0.984375,0.433552,4,0.005000,0.010000,0.9755397345978837,0.424716,0.023699283599853516,0.008836,-0.013699

sachs,p1,0.02,0.980000,0.984375,0.433552,4,0.005000,0.009000,0.9755397345978837,0.424716,0.023699283599853516,0.008836,-0.014699

sachs,p1,0.01,0.990000,0.9765625,0.425739,4,0.005000,0.011000,0.9755397345978837,0.424716,0.023699283599853516,0.001023,-0.012699

sachs,p1,0.001,0.999000,0.9755859375,0.424763,4,0.007000,0.011000,0.9755397345978837,0.424716,0.023699283599853516,0.000047,-0.012699

sachs,p1,0.0001,0.999900,0.9755859375,0.424763,4,0.010000,0.015000,0.9755397345978837,0.424716,0.023699283599853516,0.000047,-0.008699

sachs,p1,0.00001,0.999990,0.9755401611,0.424717,4,0.012000,0.017000,0.9755397345978837,0.424716,0.023699283599853516,0.000001,-0.006699

sachs,p1,0.000001,0.999999,0.9755401611,0.424717,4,0.012000,0.016000,0.9755397345978837,0.424716,0.023699283599853516,0.000001,-0.007699

sachs,p1,0.0000001,1.000000,0.9755396843,0.424716,4,0.021000,0.028000,0.9755397345978837,0.424716,0.023699283599853516,0.000000,0.004301

sachs,p1,0.00000001,1.000000,0.9755396545,0.424716,4,0.016000,0.020000,0.9755397345978837,0.424716,0.023699283599853516,0.000000,-0.003699

sachs,p1,0.000000001,1.000000,0.9755396545,0.424716,4,0.019000,0.023000,0.9755397345978837,0.424716,0.023699283599853516,0.000000,-0.000699

sachs,p1,0.0000000001,1.000000,0.9755396463,0.424716,4,0.022000,0.026000,0.9755397345978837,0.424716,0.023699283599853516,0.000000,0.002301

sachs,p1,0.00000000001,1.000000,0.9755396463,0.424716,4,0.023000,0.028000,0.9755397345978837,0.424716,0.023699283599853516,0.000000,0.004301

