thresshold,networkname,networkinstance,refinementFactor,coverageFactor,storminstantiation,stormECDistance,stormiteration,stormLastPLAtime,stormtotaltuningime,p1bayesserverinstantiation,p1bayesserverECDistance,p1bayesservertuningtime,stormbayesserverdistancediff,stormbayesservertimediff
0.3,hepar2,p1,0.00000000001,1.000000,0.3772189,0.000000,0,10000.000000,0.000000,10000,9999.622781,10000,-9999.622781,-10000.000000
0.35,hepar2,p1,0.00000000001,1.000000,0.3772189,0.000000,0,10000.000000,0.000000,10000,9999.622781,10000,-9999.622781,-10000.000000
0.4,hepar2,p1,0.00000000001,1.000000,0.3891765556,0.011958,0,10000.000000,0.000000,10000,9999.622781,10000,-9999.610823,-10000.000000
0.45,hepar2,p1,0.00000000001,1.000000,0.4407723179,0.063553,1,0.060000,0.060000,10000,9999.622781,10000,-9999.559228,-9999.940000
0.5,hepar2,p1,0.00000000001,1.000000,0.4923680803,0.115149,1,0.060000,0.060000,10000,9999.622781,10000,-9999.507632,-9999.940000
0.55,hepar2,p1,0.00000000001,1.000000,0.5439638426,0.166745,2,0.608000,0.697000,10000,9999.622781,10000,-9999.456036,-9999.303000
0.6,hepar2,p1,0.00000000001,1.000000,0.595559605,0.218341,2,0.688000,0.758000,10000,9999.622781,10000,-9999.404440,-9999.242000
0.65,hepar2,p1,0.00000000001,1.000000,0.6471553674,0.269936,3,0.581000,0.696000,10000,9999.622781,10000,-9999.352845,-9999.304000
0.7,hepar2,p1,0.00000000001,1.000000,0.6987511297,0.321532,3,0.599000,0.730000,10000,9999.622781,10000,-9999.301249,-9999.270000
0.75,hepar2,p1,0.00000000001,1.000000,0.7503469266,0.373128,3,0.671000,0.801000,10000,9999.622781,10000,-9999.249653,-9999.199000
0.8,hepar2,p1,0.00000000001,1.000000,0.8019426544,0.424724,3,0.652000,0.782000,10000,9999.622781,10000,-9999.198057,-9999.218000
0.85,hepar2,p1,0.00000000001,1.000000,0.8535384168,0.476320,3,0.695000,0.816000,10000,9999.622781,10000,-9999.146461,-9999.184000
0.9,hepar2,p1,0.00000000001,1.000000,0.9051341796,0.527915,4,0.575000,0.747000,10000,9999.622781,10000,-9999.094866,-9999.253000
0.95,hepar2,p1,0.00000000001,1.000000,0.9567299415,0.579511,4,0.582000,0.761000,10000,9999.622781,10000,-9999.043270,-9999.239000
0.3,win95pts,p1,0.00000000001,1.000000,10000,9999.010000,6,0.004000,0.029000,10000,9999.010000,10000,0.0000001,-9999.971000
0.35,win95pts,p1,0.00000000001,1.000000,10000,9999.010000,6,0.005000,0.032000,10000,9999.010000,10000,0.0000001,-9999.968000
