networkname,networkinstance,refinementFactor,coverageFactor,storminstantiation,stormECDistance,stormiteration,stormLastPLAtime,stormtotaltuningime,p1bayesserverinstantiation,p1bayesserverECDistance,p1bayesservertuningtime,stormbayesserverdistancediff,stormbayesservertimediff
water,p1,0.5,0.500000,10000,9999.520000,6,0.001000,0.036000,0.09999999999999998,0.380000,0.014529228210449219,9999.140000,0.021471

water,p1,0.45,0.550000,10000,9999.520000,6,0.002000,0.009000,0.09999999999999998,0.380000,0.014529228210449219,9999.140000,-0.005529

water,p1,0.4,0.600000,10000,9999.520000,6,0.002000,0.012000,0.09999999999999998,0.380000,0.014529228210449219,9999.140000,-0.002529

water,p1,0.35,0.650000,10000,9999.520000,6,0.002000,0.012000,0.09999999999999998,0.380000,0.014529228210449219,9999.140000,-0.002529

water,p1,0.3,0.700000,10000,9999.520000,6,0.002000,0.011000,0.09999999999999998,0.380000,0.014529228210449219,9999.140000,-0.003529

water,p1,0.25,0.750000,10000,9999.520000,6,0.002000,0.011000,0.09999999999999998,0.380000,0.014529228210449219,9999.140000,-0.003529

water,p1,0.20,0.800000,10000,9999.520000,6,0.002000,0.011000,0.09999999999999998,0.380000,0.014529228210449219,9999.140000,-0.003529

water,p1,0.15,0.850000,10000,9999.520000,6,0.002000,0.011000,0.09999999999999998,0.380000,0.014529228210449219,9999.140000,-0.003529

water,p1,0.10,0.900000,0.0625,0.417500,4,0.002000,0.007000,0.09999999999999998,0.380000,0.014529228210449219,0.037500,-0.007529

water,p1,0.05,0.950000,0.09375,0.386250,4,0.004000,0.010000,0.09999999999999998,0.380000,0.014529228210449219,0.006250,-0.004529

water,p1,0.04,0.960000,0.09375,0.386250,4,0.003000,0.009000,0.09999999999999998,0.380000,0.014529228210449219,0.006250,-0.005529

water,p1,0.03,0.970000,0.0925,0.387500,3,0.003000,0.006000,0.09999999999999998,0.380000,0.014529228210449219,0.007500,-0.008529

water,p1,0.02,0.980000,0.0925,0.387500,3,0.003000,0.006000,0.09999999999999998,0.380000,0.014529228210449219,0.007500,-0.008529

water,p1,0.01,0.990000,0.09875,0.381250,3,0.003000,0.006000,0.09999999999999998,0.380000,0.014529228210449219,0.001250,-0.008529

water,p1,0.001,0.999000,0.09953125,0.380469,3,0.005000,0.008000,0.09999999999999998,0.380000,0.014529228210449219,0.000469,-0.006529

water,p1,0.0001,0.999900,0.09997070313,0.380029,3,0.006000,0.009000,0.09999999999999998,0.380000,0.014529228210449219,0.000029,-0.005529

water,p1,0.00001,0.999990,0.09999511719,0.380005,3,0.007000,0.010000,0.09999999999999998,0.380000,0.014529228210449219,0.000005,-0.004529

water,p1,0.000001,0.999999,0.09999816895,0.380002,3,0.009000,0.012000,0.09999999999999998,0.380000,0.014529228210449219,0.000002,-0.002529

water,p1,0.0000001,1.000000,0.1000000286,0.380000,3,0.018000,0.023000,0.09999999999999998,0.380000,0.014529228210449219,0.000000,0.008471

water,p1,0.00000001,1.000000,0.1000000346,0.380000,3,0.013000,0.016000,0.09999999999999998,0.380000,0.014529228210449219,0.000000,0.001471

water,p1,0.000000001,1.000000,0.1000000376,0.380000,3,0.013000,0.016000,0.09999999999999998,0.380000,0.014529228210449219,0.000000,0.001471

water,p1,0.0000000001,1.000000,0.1000000398,0.380000,3,0.017000,0.020000,0.09999999999999998,0.380000,0.014529228210449219,0.000000,0.005471

water,p1,0.00000000001,1.000000,0.100000039,0.380000,3,0.020000,0.023000,0.09999999999999998,0.380000,0.014529228210449219,0.000000,0.008471

