networkname,networkinstance,refinementFactor,coverageFactor,storminstantiation,stormECDistance,stormiteration,stormLastPLAtime,stormtotaltuningime,p1bayesserverinstantiation,p1bayesserverECDistance,p1bayesservertuningtime,stormbayesserverdistancediff,stormbayesservertimediff,samiamEC,stormsamiamdiff
win95pts,p1,0.10,0.900000,0.25,0.740000,4,0.003000,0.007000,0.27462659133503137,0.715373,0.0221099853515625,0.024627,-0.015110,0.715373,0.024627

win95pts,p1,0.01,0.990000,0.2734375,0.716562,4,0.004000,0.008000,0.27462659133503137,0.715373,0.0221099853515625,0.001189,-0.014110,0.715373,0.001190

win95pts,p1,0.001,0.999000,0.2734375,0.716562,4,0.005000,0.009000,0.27462659133503137,0.715373,0.0221099853515625,0.001189,-0.013110,0.715373,0.001190

win95pts,p1,0.0001,0.999900,0.27459716796875,0.715403,4,0.007000,0.011000,0.27462659133503137,0.715373,0.0221099853515625,0.000029,-0.011110,0.715373,0.000030

win95pts,p1,0.00001,0.999990,0.2746124267578125,0.715388,4,0.008000,0.012000,0.27462659133503137,0.715373,0.0221099853515625,0.000014,-0.010110,0.715373,0.000015

win95pts,p1,0.000001,0.999999,0.27462577819824219,0.715374,4,0.009000,0.013000,0.27462659133503137,0.715373,0.0221099853515625,0.000001,-0.009110,0.715373,0.000001

