thresshold,networkname,networkinstance,refinementFactor,coverageFactor,storminstantiation,stormECDistance,stormiteration,stormLastPLAtime,stormtotaltuningime,p1bayesserverinstantiation,p1bayesserverECDistance,p1bayesservertuningtime,stormbayesserverdistancediff,stormbayesservertimediff
0.3,win95pts,p1,0.01,0.990000,10000,10,6,0.004000,0.029000,10000,9999.010000,10000,0.0000001,-9999.971000
0.35,win95pts,p1,0.01,0.990000,10000,10,6,0.004000,0.030000,10000,9999.010000,10000,0.0000001,-9999.970000
0.4,win95pts,p1,0.01,0.990000,10000,10,6,0.005000,0.032000,10000,9999.010000,10000,0.0000001,-9999.968000
0.45,win95pts,p1,0.01,0.990000,10000,10,6,0.007000,0.035000,10000,9999.010000,10000,0.0000001,-9999.965000
0.5,win95pts,p1,0.01,0.990000,10000,10,6,0.007000,0.034000,10000,9999.010000,10000,0.0000001,-9999.966000
0.55,win95pts,p1,0.01,0.990000,10000,10,6,0.004000,0.025000,10000,9999.010000,10000,0.0000001,-9999.975000
0.6,win95pts,p1,0.01,0.990000,10000,10,6,0.005000,0.029000,10000,9999.010000,10000,0.0000001,-9999.971000
0.65,win95pts,p1,0.01,0.990000,10000,10,6,0.005000,0.026000,10000,9999.010000,10000,0.0000001,-9999.974000
0.7,win95pts,p1,0.01,0.990000,10000,10,6,0.005000,0.030000,10000,9999.010000,10000,0.0000001,-9999.970000
0.75,win95pts,p1,0.01,0.990000,10000,10,6,0.004000,0.026000,10000,9999.010000,10000,0.0000001,-9999.974000
0.8,win95pts,p1,0.01,0.990000,10000,10,6,0.004000,0.026000,10000,9999.010000,10000,0.0000001,-9999.974000
0.85,win95pts,p1,0.01,0.990000,10000,10,6,0.004000,0.025000,10000,9999.010000,10000,0.0000001,-9999.975000
0.9,win95pts,p1,0.01,0.990000,10000,10,6,0.004000,0.026000,10000,9999.010000,10000,0.0000001,-9999.974000
0.95,win95pts,p1,0.01,0.990000,10000,10,6,0.004000,0.026000,10000,9999.010000,10000,0.0000001,-9999.974000
