networkname,networkinstance,refinementFactor,coverageFactor,storminstantiation,stormECDistance,stormiteration,stormLastPLAtime,stormtotaltuningime,p1bayesserverinstantiation,p1bayesserverECDistance,p1bayesservertuningtime,stormbayesserverdistancediff,stormbayesservertimediff
win95pts,p1,0.5,0.500000,10000,9999.010000,6,0.001000,0.009000,0.27462659133503137,0.715373,0.0221099853515625,9998.294627,-0.013110

win95pts,p1,0.45,0.550000,0.25,0.740000,5,0.002000,0.008000,0.27462659133503137,0.715373,0.0221099853515625,0.024627,-0.014110

win95pts,p1,0.4,0.600000,0.25,0.740000,5,0.002000,0.009000,0.27462659133503137,0.715373,0.0221099853515625,0.024627,-0.013110

win95pts,p1,0.35,0.650000,0.25,0.740000,5,0.002000,0.009000,0.27462659133503137,0.715373,0.0221099853515625,0.024627,-0.013110

win95pts,p1,0.3,0.700000,0.25,0.740000,5,0.001000,0.008000,0.27462659133503137,0.715373,0.0221099853515625,0.024627,-0.014110

win95pts,p1,0.25,0.750000,0.25,0.740000,5,0.001000,0.007000,0.27462659133503137,0.715373,0.0221099853515625,0.024627,-0.015110

win95pts,p1,0.20,0.800000,0.25,0.740000,5,0.002000,0.008000,0.27462659133503137,0.715373,0.0221099853515625,0.024627,-0.014110

win95pts,p1,0.15,0.850000,0.25,0.740000,5,0.002000,0.008000,0.27462659133503137,0.715373,0.0221099853515625,0.024627,-0.014110

win95pts,p1,0.10,0.900000,0.240625,0.749375,4,0.002000,0.006000,0.27462659133503137,0.715373,0.0221099853515625,0.034002,-0.016110

win95pts,p1,0.05,0.950000,0.2659375,0.724063,4,0.005000,0.017000,0.27462659133503137,0.715373,0.0221099853515625,0.008690,-0.005110

win95pts,p1,0.04,0.960000,0.2659375,0.724063,4,0.003000,0.007000,0.27462659133503137,0.715373,0.0221099853515625,0.008690,-0.015110

win95pts,p1,0.03,0.970000,0.2659375,0.724063,4,0.004000,0.008000,0.27462659133503137,0.715373,0.0221099853515625,0.008690,-0.014110

win95pts,p1,0.02,0.980000,0.2659375,0.724063,4,0.004000,0.008000,0.27462659133503137,0.715373,0.0221099853515625,0.008690,-0.014110

win95pts,p1,0.01,0.990000,0.272265625,0.717734,4,0.004000,0.008000,0.27462659133503137,0.715373,0.0221099853515625,0.002361,-0.014110

win95pts,p1,0.001,0.999000,0.272265625,0.717734,4,0.006000,0.010000,0.27462659133503137,0.715373,0.0221099853515625,0.002361,-0.012110

win95pts,p1,0.0001,0.999900,0.2745397949,0.715460,4,0.007000,0.011000,0.27462659133503137,0.715373,0.0221099853515625,0.000087,-0.011110

win95pts,p1,0.00001,0.999990,0.2746263123,0.715374,4,0.009000,0.013000,0.27462659133503137,0.715373,0.0221099853515625,0.000001,-0.009110

win95pts,p1,0.000001,0.999999,0.2746263123,0.715374,4,0.009000,0.013000,0.27462659133503137,0.715373,0.0221099853515625,0.000001,-0.009110

win95pts,p1,0.0000001,1.000000,0.2746265537,0.715373,4,0.012000,0.016000,0.27462659133503137,0.715373,0.0221099853515625,0.0000001,-0.006110

win95pts,p1,0.00000001,1.000000,0.2746263123,0.715374,4,0.013000,0.017000,0.27462659133503137,0.715373,0.0221099853515625,0.000001,-0.005110

win95pts,p1,0.000000001,1.000000,0.2746265778,0.715373,4,0.015000,0.019000,0.27462659133503137,0.715373,0.0221099853515625,0.0000001,-0.003110

win95pts,p1,0.0000000001,1.000000,0.2746265913,0.715373,4,0.015000,0.019000,0.27462659133503137,0.715373,0.0221099853515625,0.0000001,-0.003110

win95pts,p1,0.00000000001,1.000000,0.2746265913,0.715373,4,0.017000,0.021000,0.27462659133503137,0.715373,0.0221099853515625,0.0000001,-0.001110

